,제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
0,화웨이 워치 GT 2 46mm 클래식 (정품),232720,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8964230&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B781852985&package=0&setpc=0,삼성전자,201909,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,247mAh,,26g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
1,삼성전자 갤럭시 워치 액티브2 40mm 알루미늄 케이스,258230,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9200895&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B781853038&package=0&setpc=0,삼성전자,201909,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.6cm(1.4"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,340mAh,,30g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
2,삼성전자 갤럭시 워치 액티브2 44mm 알루미늄 케이스,540890,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705810&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B822231255&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
3,APPLE 워치 시리즈5 44mm 스페이스 그레이 알루미늄 케이스,335800,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9201189&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2791328982&package=0&setpc=0,삼성전자,201909,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.6cm(1.4"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,340mAh,,44g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
4,삼성전자 갤럭시 워치 액티브2 44mm 스테인리스 스틸 케이스,166330,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10240971&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2759980601&package=0&setpc=0,샤오미,201912,스마트워치,기타OS,블루투스,v5.0,v5.0 이상,v10.0 이상,원형,AMOLED,"3.53cm(1.39"")",454x454,,,,,,○,○,○,○,,,○,,,○,○,,○,○,,,○,○,○,○,○,,,○,○,,,○,○,,○,,,,,○,,,,,○,○,○,,○,,,,○,○,,○,,410mAh,평균사용:15~30일,48g,5ATM,표준 22mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
5,샤오미 화미 어메이즈핏 GTR 47mm,156630,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10360533&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B795634092&package=0&setpc=0,샤오미,202001,스마트워치,,블루투스,v5.0,v5.0 이상,v10.0 이상,사각형,AMOLED,"4.2cm(1.65"")",442x348,,,,,,○,○,○,○,,,○,,,○,○,,○,○,○,○,,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220mAh,평균사용:7일~15일,24.8g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
6,샤오미 화미 어메이즈핏 GTS,399290,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10596255&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B580672235&package=0&setpc=0,삼성전자,202002,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,247mAh,,26g,5ATM,표준 20mm 시계줄,밴드분리형,R-C-SEC-SMR820 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
7,삼성전자 갤럭시 워치 액티브2 44mm 골프 에디션,532790,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705819&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B822231164&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
8,APPLE 워치 시리즈5 40mm 스페이스 그레이 알루미늄 케이스,25470,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10319637&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B794728792&package=0&setpc=0,샤오미,202001,스마트워치,기타OS,블루투스,v4.2,v4.4 이상,v8.0 이상,사각형,TFT,"3.3cm(1.3"")",240x240,,,,,,,,○,○,,,,,,,,,○,○,○,,,○,,,,,,,,○,,○,○,,,,,,,,,,,,○,,○,,,,,,,○,,○,○,210mAh,평균사용:13일,34g,IP68,,,R-C-wsw-Haylou-LS01 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
9,샤오미 헬로우 스마트워치,270620,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9853200&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B799117074&package=0&setpc=0,화웨이,201911,스마트워치,기타OS,블루투스,v5.1,v4.4 이상,v9.0 이상,원형,OLED,"3.53cm(1.39"")",454x454,,,,저장 : 4GB,,○,○,○,○,,○,○,,,○,,,○,○,,,,,,○,,,,○,○,○,○,○,○,,,,,,,○,,,,,○,○,○,,○,,,,,○,,○,○,455mAh,평균사용:7일~15일,41g,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
10,화웨이 워치 GT 2 46mm 클래식,188990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=7299064&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1590789051&package=0&setpc=0,삼성전자,201903,스마트워치,타이젠OS,블루투스,v4.2,v5.0 이상,v9.0 이상,원형,SAMOLED,"2.7cm(1.1"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,,○,○,,,,,○,○,○,○,○,○,○,,○,,○,,○,○,○,○,○,○,,○,,,,,,,○,,,,,,,○,,○,,,○,,○,○,230mAh,평균사용:1.5일,25g,5ATM,표준 20mm 시계줄,밴드분리형,R-C-SEC-SMR500 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
11,삼성전자 갤럭시 워치 액티브,311860,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9201093&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=3544943066&package=0&setpc=0,삼성전자,201909,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,247mAh,,37g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
12,삼성전자 갤럭시 워치 액티브2 40mm 스테인리스 스틸 케이스,303310,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6378431&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2667146744&package=0&setpc=0,삼성전자,201808,스마트워치,타이젠OS,블루투스,v4.2,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.3cm(1.3"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,,○,○,,,,○,,○,○,○,○,○,,,,,,,○,○,○,○,○,○,,○,,○,○,,○,,,,,,,,,,○,,,,,,,○,472mAh,평균사용:3일~4일,63g,5ATM,표준 22mm 시계줄,밴드분리형,R-CMM-SEC-SMR800 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
13,삼성전자 갤럭시 워치 46mm,692000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705816&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B801858484&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
14,APPLE 워치 시리즈5 44mm Cellular 스페이스 그레이 알루미늄 케이스,573210,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706377&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037380560&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
15,APPLE 워치 시리즈5 나이키+ 44mm 스페이스 그레이 알루미늄 케이스,163300,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10730367&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2828101596&package=0&setpc=0,샤오미,202003,스마트워치,기타OS,블루투스,v5.0,v5.0 이상,v10.0 이상,원형,AMOLED,"3.3cm(1.3"")",360x360,,,,,,○,,○,○,,,,,,○,○,,○,○,○,○,,○,,○,○,,,,,,,,○,,,,,,,○,,,,,,,○,,,,,,,○,,,,390mAh,평균사용:20일,58g,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
16,샤오미 화미 어메이즈핏 T-Rex,492810,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705669&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=6846026757&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
17,APPLE 워치 시리즈5 40mm 실버 알루미늄 케이스,542180,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705681&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1687197011&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
18,APPLE 워치 시리즈5 44mm 실버 알루미늄 케이스,68190,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9322767&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2696365171&package=0&setpc=0,샤오미,201908,스마트워치,기타OS,블루투스,v4.1,v4.4 이상,v9.0 이상,사각형,TFT,"3.25cm(1.28"")",176x176,,,,,,,,○,○,,,,,,,,,○,○,,,,,,,,,,○,○,○,,○,○,,,,,,,,,,,○,○,,○,,,,,,,○,,,○,200mAh,평균사용:1~3개월,32g,3ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
19,샤오미 화미 어메이즈핏 빕 라이트,359690,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10596012&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1753038237&package=0&setpc=0,삼성전자,202002,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,247mAh,,26g,5ATM,표준 20mm 시계줄,밴드분리형,R-C-SEC-SMR830 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
20,삼성전자 갤럭시 워치 액티브2 40mm 골프 에디션,49720,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=11157981&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B832527663&package=0&setpc=0,프라임원,202004,스마트워치,기타OS,블루투스,v4.0,v4.4 이상,v9.0 이상,사각형,AMOLED,"4.19cm(1.65"")",,,,,,,,,,,,,,,,,,,○,○,○,,,,,○,,,,○,○,○,○,○,○,,,,,,,○,,○,,,○,,○,,,,,,,○,,○,○,220mAh,평균사용:7일~14일,24.9g,IP68,표준 20mm 시계줄,밴드분리형,R-R-pon-XfitGTS 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
21,프라임원 엑스핏 GTS,256410,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=7524517&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037241595&package=0&setpc=0,APPLE,201710,스마트워치,iOS(WatchOS),블루투스,v4.2,,v12.0 이상,사각형,OLED,,340x272,애플S3,듀얼(2)코어,램 : 768MB,저장 : 8GB,○,○,○,○,○,○,○,○,,○,,,,○,○,○,,,,,○,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,,평균사용:18시간,26.7g,,전용시계줄,밴드분리형,R-CRM-APA-A1891 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
22,APPLE 워치 시리즈3 38mm 알루미늄 케이스,320000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9734781&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=I1072879231&package=0&setpc=0,삼성전자,201911,스마트워치,타이젠OS,블루투스,v5.0,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.6cm(1.4"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,,○,,,○,,,,○,,,,○,○,○,,,,,,,,,,,,,,,,○,○,,,○,,,○,340mAh,,30g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
23,삼성전자 갤럭시 워치 액티브2 44mm 언더아머 에디션,549990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4403482&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1217811284&package=0&setpc=0,삼성전자,201611,스마트워치,타이젠OS,블루투스,,안드로이드OS,,원형,SAMOLED,"3.3cm(1.3"")",360x360,삼성 엑시노스7270,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,○,○,,,,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,380mAh,평균사용:3~4일,59g,IP68,표준 22mm 시계줄,밴드분리형,MSIP-CMM-SEC-SMR770 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
24,삼성전자 기어S3 클래식,1008800,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706221&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1744710597&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
25,APPLE 워치 시리즈5 44mm Cellular 스페이스 블랙 스테인리스 스틸 케이스,159320,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10240983&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1752864171&package=0&setpc=0,샤오미,202001,스마트워치,기타OS,블루투스,v5.0,v5.0 이상,v10.0 이상,원형,AMOLED,"3.0cm(1.2"")",390x390,,,,,,○,○,○,○,,,○,,,○,○,,○,○,,,○,○,○,○,○,,,○,○,,,○,○,,○,,,,,○,,,,,○,○,○,,○,,,,○,○,,○,,195mAh,평균사용:7일~15일,22.5g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
26,샤오미 화미 어메이즈핏 GTR 42mm,492810,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705786&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=6846026757&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
27,APPLE 워치 시리즈5 40mm 골드 알루미늄 케이스,37710,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8338245&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1586314231&package=0&setpc=0,레노버,201906,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,원형,,,,,,,,,,,,,,,,,,,,,,○,○,,,○,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
28,레노버 워치 S,59700,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=5873396&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2119276329&package=0&setpc=0,샤오미,201802,스마트워치,기타OS,블루투스,v4.0,v4.4 이상,v8.0 이상,사각형,e-ink,"3.25cm(1.28"")",,,,,,,○,,○,○,,,○,,,○,,,○,○,○,,,,,,,,,○,,○,,○,○,,○,,,○,○,○,,,,,,○,,,,,,,,,,,○,190mAh,평균사용:1~3개월,31g,IP68,표준 20mm 시계줄,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
29,샤오미 화미 어메이즈핏 빕,299000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=5593006&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=I485088924&package=0&setpc=0,APPLE,201710,스마트워치,iOS(WatchOS),블루투스,v4.2,,v12.0 이상,사각형,OLED,,390x312,애플S3,듀얼(2)코어,램 : 768MB,저장 : 8GB,○,○,○,○,○,○,○,○,,○,,,,○,○,○,,,,,○,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,,평균사용:18시간,32.3g,,전용시계줄,밴드분리형,MSIP-CRI-APL-A1859 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
