,제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
30,삼성전자 갤럭시 워치 42mm LTE,313590,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6474133&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1533005469&package=0&setpc=0,삼성전자,201808,스마트워치,타이젠OS,LTE+블루투스,v4.2,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 1.5GB,저장 : 4GB,○,○,○,○,○,,○,○,,,,○,,○,○,○,○,○,,,,,,,○,○,○,○,○,○,,○,,○,○,,○,,,,,,,,○,○,○,,,,,,,○,270mAh,평균사용:1일~2일,49g,5ATM,표준 20mm 시계줄,밴드분리형,R-CMM-SEC-SMR815N 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
31,삼성전자 갤럭시 워치 46mm LTE,326240,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6454644&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2173926128&package=0&setpc=0,삼성전자,201808,스마트워치,타이젠OS,LTE+블루투스,v4.2,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.3cm(1.3"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 1.5GB,저장 : 4GB,○,○,○,○,○,,○,○,,,,○,,○,○,○,○,○,,,,,,,○,○,○,○,○,○,,○,,○,○,,○,,,,,,,,○,,○,,,,,,,○,472mAh,평균사용:3일~4일,63g,5ATM,표준 22mm 시계줄,밴드분리형,R-CMM-SEC-SMR805N 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
32,삼성전자 갤럭시 워치 골프 에디션 46mm,409000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6488320&cmpnyc=TT213D&safe_trade=4&fee_type=N&link_pcode=3751772256&package=0&setpc=0,삼성전자,201809,스마트워치,타이젠OS,블루투스,v4.2,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.3cm(1.3"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,,○,○,,,,○,,○,○,○,○,○,,,,,○,,○,○,○,○,○,○,,○,,○,○,,○,,,,,,,,,,○,,,,,,,○,472mAh,평균사용:3일~4일,63g,5ATM,표준 22mm 시계줄,밴드분리형,R-CMM-SEC-SMR800 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
33,핏빗 Versa 2,245520,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9380154&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=2864563834&package=0&setpc=0,핏빗,201909,스마트워치,기타OS,블루투스,,,,사각형,OLED,,,,,,,,,○,○,,,,,,,,,,○,○,○,,,,,○,,,○,,,,,○,○,,,,,,,,,,,,○,○,,,○,,,,,,○,,,,,,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
34,화웨이 워치 GT 2 46mm 엘리트,200980,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9576525&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1740755540&package=0&setpc=0,화웨이,202001,스마트워치,기타OS,블루투스,v5.1,v4.4 이상,v9.0 이상,원형,OLED,"3.53cm(1.39"")",454x454,,,,저장 : 4GB,,○,○,○,○,,○,○,,,○,,,○,○,,,,,,○,,,,○,○,○,○,○,○,,,,,,,○,,,,,○,○,○,,○,,,,,○,,○,○,455mAh,평균사용:7일~15일,41g,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
35,APPLE 워치 시리즈5 나이키+ 44mm Cellular 스페이스 그레이 알루미늄 케이스,692010,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706386&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037380547&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
36,APPLE 워치 시리즈5 나이키+ 44mm 실버 알루미늄 케이스,573210,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706332&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037380540&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
37,APPLE 워치 시리즈5 나이키+ 40mm 스페이스 그레이 알루미늄 케이스,533610,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706389&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037380554&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
38,SM코퍼레이션 DZ09S,15710,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4268846&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1527196255&package=0&setpc=0,SM코퍼레이션,201607,스마트워치,,블루투스,v3.0,안드로이드OS,iOS,사각형,,"4.1cm(1.6"")",240x240,미디어텍 MT6260A,,,저장 : 64MB,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,,○,○,,,,,,,,,,,,○,,○,,,○,○,○,○,○,○,,,,300mAh,,75g,,,,MSIP-CMI-QKR-DZ09S 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
39,레노버 워치 9,17460,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6314101&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1475245400&package=0&setpc=0,레노버,201807,스마트워치,,블루투스,v5.0,안드로이드OS,iOS,원형,LED,"3.8cm(1.5"")",,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,○,○,○,,○,○,,,,,,,,,,,,,○,,,,,,○,○,,,○,○,,,,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
40,APPLE 워치 시리즈5 44mm Cellular 스테인리스 스틸 케이스,949400,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9708204&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1744614808&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
41,삼성전자 갤럭시 워치 42mm,267990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6378383&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1485724992&package=0&setpc=0,삼성전자,201808,스마트워치,타이젠OS,블루투스,v4.2,v5.0 이상,v9.0 이상,원형,SAMOLED,"3.0cm(1.2"")",360x360,삼성 엑시노스9110,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,,○,○,,,,○,,○,○,○,○,○,,,,,,,○,○,○,○,○,○,,○,,○,○,,○,,,,,,,,,,○,,,,,,,○,270mAh,평균사용:1일~2일,49g,5ATM,표준 20mm 시계줄,밴드분리형,R-CMM-SEC-SMR810 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
42,코아 POWER G1,56880,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=10349367&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=2628363078&package=0&setpc=0,코아,202001,스마트워치,,블루투스,v4.0,v4.4 이상,v8.0 이상,사각형,IPS,"3.3cm(1.3"")",240x240,,,,,,○,,○,,,,,,,,,,○,○,○,,,○,,,,,,○,○,○,○,○,○,,,,,,,○,,,,,○,○,○,,○,,,,○,○,,○,○,,평균사용:2일~4일,,IP68,,,R-C-coa-CKW01G 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
43,샤오미 화미 어메이즈핏 버지 라이트,88610,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8358195&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1635273986&package=0&setpc=0,샤오미,201906,스마트워치,기타OS,블루투스,v5.0,v4.4 이상,v9.0 이상,원형,AMOLED,"3.3cm(1.3"")",360x360,,,,,,○,,○,○,,,,,,,○,,○,○,○,○,,,,,,,,○,○,,,○,○,,○,,,,,,,,,○,,○,,,○,,,,,○,,○,○,390mAh,평균사용:20일,,IP68,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
44,APPLE 워치 시리즈5 에르메스 40mm Cellular 스테인리스 스틸 케이스,1790000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706587&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1722747538&package=0&setpc=0,APPLE,201912,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
45,APPLE 워치 시리즈5 에디션 44mm Cellular 스페이스 블랙 티타늄 케이스,1320000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706740&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2656260294&package=0&setpc=0,APPLE,201912,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
46,APPLE 워치 시리즈5 44mm 골드 알루미늄 케이스,565900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705774&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B822231336&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
47,APPLE 워치 시리즈5 44mm Cellular 골드 스테인리스 스틸 케이스,908990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9707997&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1744616554&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
48,"네이버랩스 아키, KT",47500,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6093518&cmpnyc=TN729&safe_trade=4&fee_type=T&link_pcode=101996037_101996037&package=0&setpc=0,네이버랩스,201804,스마트워치,,LTE+블루투스,,안드로이드OS,iOS,원형,AMOLED,"3.0cm(1.2"")",,,,,,○,○,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,,,,○,,,,,,IP68,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
49,APPLE 워치 시리즈5 40mm Cellular 골드 스테인리스 스틸 케이스,898990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9708033&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1744733589&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
50,APPLE 워치 시리즈5 40mm Cellular 스테인리스 스틸 케이스,949400,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706056&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1744738023&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
51,샤오미 미 워치 스탠다드,220300,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9865629&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2649233075&package=0&setpc=0,샤오미,201912,스마트워치,기타OS,블루투스,v4.2,,,사각형,SAMOLED,"4.52cm(1.78"")",448x368,퀄컴 스냅드래곤웨어3100,쿼드(4)코어,램 : 1GB,저장 : 8GB,○,○,○,○,○,,○,○,,,,,,○,○,○,,,○,,○,,,,○,○,,,○,○,,,,○,,,,,,,,,,,○,,○,○,,,,,,,570mAh,,44g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
52,삼성전자 기어S3 프론티어,399290,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4403128&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B374716633&package=0&setpc=0,삼성전자,201611,스마트워치,타이젠OS,블루투스,,안드로이드OS,,원형,SAMOLED,"3.3cm(1.3"")",360x360,삼성 엑시노스7270,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,○,○,○,○,○,,,,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,380mAh,평균사용:3~4일,63g,IP68,표준 22mm 시계줄,밴드분리형,MSIP-CMM-SEC-SMR760 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
53,LG전자 워치 W7,760700,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6499240&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2520165782&package=0&setpc=0,LG전자,201812,스마트워치,웨어OS,블루투스,v4.2,v4.3 이상,v8.2 이상,원형,LCD,"3.0cm(1.2"")",360x360,퀄컴 스냅드래곤웨어2100,쿼드(4)코어,램 : 768MB,저장 : 4GB,○,,,,○,,○,○,,,○,,,○,○,,,,,,,,,,○,,○,○,,,,,,○,,,○,,,,,,,,,,,○,,○,○,,○,○,240mAh,평균사용:2일,79.5g,IP68,표준 22mm 시계줄,밴드분리형,R-CMM-LGE-MCW315 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
54,APPLE 워치 시리즈4 40mm 알루미늄 케이스,591880,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6483651&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2373396989&package=0&setpc=0,APPLE,201809,스마트워치,iOS(WatchOS),블루투스,v5.0,,v12.0 이상,사각형,OLED,,324x394,애플S4,듀얼(2)코어,,저장 : 16GB,○,○,,○,○,,○,○,,,,○,,○,○,○,,,○,,○,,,○,○,○,○,○,,○,○,○,,○,○,,○,,,,,,,,○,○,,,,,,○,,○,,평균사용:1일이하,30.1g,5ATM,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
55,화웨이 워치 GT 스포츠,168990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=7589083&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1741625024&package=0&setpc=0,화웨이,201810,스마트워치,기타OS,블루투스,v4.2,v4.4 이상,v9.0 이상,원형,AMOLED,"3.53cm(1.39"")",454x454,,,램 : 16MB,저장 : 128MB,,○,○,○,○,,○,○,,,○,○,,○,○,○,,,,,,,,,○,○,○,○,○,○,,,,○,,,,,,,,,,,,,,,,,,,,○,,평균사용:14일,46g,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
56,APPLE 워치 시리즈5 나이키+ 40mm 실버 알루미늄 케이스,533610,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706344&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037380559&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
57,NEWNTO K2,22000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8178616&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B568311875&package=0&setpc=0,,201906,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,원형,OLED,,,,,램 : 64KB,,,,,○,,○,,,,,,,,○,,,,,,,,,,,○,○,○,,○,○,,,,,,,,,○,,,,,,,,,,○,○,○,,○,○,200mAh,평균사용:15일,50g,IP68,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
58,화웨이 워치 GT 2 42mm 클래식,197990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9753102&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1740755224&package=0&setpc=0,화웨이,201910,스마트워치,기타OS,블루투스,v5.1,v4.4 이상,v9.0 이상,원형,OLED,"3.0cm(1.2"")",390x390,,,,저장 : 4GB,,○,○,○,○,,○,○,,,○,,,○,○,,,,,,○,,,,○,○,○,○,○,○,,,,,,,○,,,,,○,○,,,○,,,,,○,,○,○,215mAh,평균사용:1일~7일,29g,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
59,U Watch U8 PLUS,90800,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3592231&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B252725451&package=0&setpc=0,U,201512,스마트워치,,블루투스,,안드로이드OS,iOS,사각형,LCD,"3.8cm(1.5"")",128x128,,,,,,,,,○,○,,○,,,,,,,,,,,,,,,,,○,,,○,,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,,,,,"평균사용:대기시간 2일, 사용시간 1일",,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
60,삼성전자 기어 스포츠,229790,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=5445103&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1939674383&package=0&setpc=0,삼성전자,201710,스마트워치,타이젠OS,블루투스,,안드로이드OS,,원형,OLED,"3.0cm(1.2"")",360x360,삼성 엑시노스7270,듀얼(2)코어,램 : 768MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,,,,300mAh,평균사용:2일,50g,5ATM,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
61,핏빗 Versa Lite,169000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=7398964&cmpnyc=ED909&safe_trade=4&fee_type=T&link_pcode=57820933&package=0&setpc=0,핏빗,201903,스마트워치,기타OS,블루투스,v4.0,v4.3 이상,v6.0 이상,사각형,LCD,,,,,,,○,,○,○,○,,○,,,,,,,○,○,,,,,,○,,,○,○,○,○,,○,○,,,,,○,,,,,○,,,○,,,,,,,,○,,,○,,,,5ATM,,,R-C-XRA-FB415 인증번호 확인,YU10296-18012 인증번호 확인
