,제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
94,APPLE 워치 시리즈5 나이키+ 40mm Cellular 실버 알루미늄 케이스,652410,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706347&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000037380542&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
95,Z30,38510,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8201338&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1576111659&package=0&setpc=0,,201906,스마트워치,기타OS,,,v4.4 이상,v8.2 이상,사각형,,"3.3cm(1.3"")",,Nordic nRF52832,,,,,,,○,,○,,,,,,,,○,,○,,,,,○,,,,○,○,○,,○,○,,,,,,,,,,,,,○,,,,,,,○,○,,,○,145mAh,평균사용:5일~7일,40g,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
96,오키텔 A29,179000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3653377&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=741987656&package=0&setpc=0,오키텔,201512,스마트워치,,블루투스,,안드로이드OS,iOS,원형,IPS,"3.0cm(1.2"")",240x240,미디어텍 MT2502A,,램 : 64MB,저장 : 128MB,,,,○,○,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,,,,320mAh,평균사용:2일,,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
97,샤오미 화미 어메이즈핏 스트라토스,136840,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6072652&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=1825857734&package=0&setpc=0,샤오미,201804,스마트워치,기타OS,블루투스,v4.0,v4.4 이상,v9.0 이상,,LCD,"3.4cm(1.34"")",320x300,,듀얼(2)코어,램 : 512MB,저장 : 4GB,○,○,,○,○,,○,○,,,○,,,○,○,○,○,,○,,○,,,,○,○,○,,○,○,,,,,,,○,,,,,,,,,○,,,,,○,,,○,290mAh,평균사용:5일,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
98,화웨이 워치 GT 2 46mm 스포츠,392750,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9576360&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B775387026&package=0&setpc=0,화웨이,202002,스마트워치,기타OS,블루투스,v5.1,v4.4 이상,v9.0 이상,원형,OLED,"3.53cm(1.39"")",454x454,,,,저장 : 4GB,,○,○,○,○,,○,○,,,○,,,○,○,,,,,,○,,,,○,○,○,○,○,○,,,,,,,○,,,,,○,○,○,,○,,,,,○,,○,○,455mAh,평균사용:7일~15일,41g,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
99,Razer Nabu Watch,128690,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4071905&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B762420824&package=0&setpc=0,Razer,201605,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,원형,OLED,,128x16,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,,,○,,,평균사용:7일,,5ATM,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
100,런타스틱 모멘트 베이직,137410,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3952283&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=4844248920&package=0&setpc=0,런타스틱,201604,스마트워치,,블루투스,,안드로이드OS,iOS,,,"4.1cm(1.6"")",,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,○,,,,,평균사용:6개월,262g,,,,MSIP-CRM-KRi-DP166 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
101,zeblaze Vibe,35480,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6265787&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B472540581&package=0&setpc=0,zeblaze,201807,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,원형,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
102,SKMEI 1285,42040,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8337657&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1570295271&package=0&setpc=0,SKMEI,201906,스마트워치,기타OS,블루투스,,v4.3 이상,v7.0 이상,원형,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,○,,,53g,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
103,lemfo LEM9 LTE,221130,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8179756&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1573994707&package=0&setpc=0,lemfo,201906,스마트워치,안드로이드OS,LTE+블루투스,v4.0,v7.1 이상,iOS,원형,AMOLED,"3.53cm(1.39"")",454x454,미디어텍 MT6739,쿼드(4)코어,램 : 1GB,저장 : 16GB,○,○,,,,,,,,,,,,○,○,○,,,,,,,,,○,,○,,,,,,,,,,○,,,,,,,,,○,,,○,,○,,,,600mAh,,,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
104,Zanmax FR930,74800,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8155054&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1513012653&package=0&setpc=0,,201906,스마트워치,,블루투스,,안드로이드OS,iOS,원형,,,,,,,,,○,,○,,○,,,,,,,,○,,,,,,,,,,,○,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
105,APPLE 워치 시리즈5 에르메스 44mm Cellular 스테인리스 스틸 케이스,1860000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706596&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B782004489&package=0&setpc=0,APPLE,201912,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
106,zeblaze Thor 4 Pro LTE,131090,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6821701&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1533526101&package=0&setpc=0,zeblaze,201812,스마트워치,안드로이드OS,LTE+블루투스,,안드로이드OS,iOS,원형,,"4.1cm(1.6"")",320x320,미디어텍 MT6739,쿼드(4)코어,램 : 1GB,저장 : 16GB,○,○,,○,○,,,,,,,,,,,,,,,,,,,,○,○,○,,,○,,,,,,,○,,,○,,,,,,,,○,○,,,,,,600mAh,,76g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
107,APPLE 워치 시리즈3 나이키+ 38mm Cellular 알루미늄 케이스,375210,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6198995&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000038749049&package=0&setpc=0,APPLE,201806,스마트워치,iOS(WatchOS),LTE+블루투스,v4.2,,v12.0 이상,사각형,OLED,,340x272,애플S3,듀얼(2)코어,램 : 768MB,저장 : 16GB,○,○,○,○,○,○,○,○,,○,,,,○,○,○,,,,,○,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,,평균사용:18시간,28.7g,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
108,런타스틱 모멘트 펀,119210,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3952566&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=4847099416&package=0&setpc=0,런타스틱,201604,스마트워치,,블루투스,,안드로이드OS,iOS,,,"3.8cm(1.5"")",,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,○,,,,,평균사용:6개월,225g,,,,MSIP-CRM-KRi-DP166 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
109,LG전자 워치 어베인,522000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3348344&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1440048161&package=0&setpc=0,LG전자,201503,스마트워치,웹OS,블루투스,,안드로이드OS,,원형,OLED,"3.3cm(1.3"")",320x320,퀄컴 스냅드래곤400,쿼드(4)코어,램 : 512MB,저장 : 4GB,,,○,○,,,○,○,,,,,,,,,,,,,,,,,○,○,,,○,,,,,,,,,,,,○,,○,,,○,○,○,,,○,,,,410mAh,,,IP67,표준 22mm 시계줄,밴드분리형,MSIP-CMM-LGE-MCW150 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
110,W529,24220,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6386784&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1454749761&package=0&setpc=0,,201808,스마트워치,,,,,,사각형,,"3.66cm(1.44"")",128x128,미디어텍 MT2503,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,400mAh,,40g,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
111,zeblaze Crystal 2,39300,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6448014&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B620400683&package=0&setpc=0,zeblaze,201809,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,사각형,IPS,"3.28cm(1.29"")",,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,○,,,,,,,,,,,,,,,,,,,○,,,,,○,180mAh,평균사용:5일~7일,,IP67,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
112,핏빗 Surge,258210,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3293672&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1129882029&package=0&setpc=0,핏빗,201507,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,사각형,LCD,"2.5cm(1.0"")",,,,,,,○,,○,○,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,,,,,○,,,,,평균사용:7일,,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
113,lemfo LF16,132650,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=5914481&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B463506061&package=0&setpc=0,lemfo,201802,스마트워치,안드로이드OS,블루투스,,,,원형,IPS,"3.53cm(1.39"")",400x400,미디어텍 MT6580,쿼드(4)코어,램 : 512MB,저장 : 8GB,○,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,,,360mAh,,,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
114,APPLE 워치 시리즈4 44mm Cellular 스테인리스 스틸 케이스,845900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=7408852&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=I446305704&package=0&setpc=0,APPLE,201809,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,v12.0 이상,사각형,OLED,,368x448,애플S4,듀얼(2)코어,,저장 : 16GB,○,○,,○,○,,○,○,,,,○,,○,○,○,,,○,,○,,,○,○,○,○,○,,○,○,○,,○,○,,○,,,,,,,,○,○,,,,,,○,,○,,평균사용:1일이하,47.9g,5ATM,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
115,APPLE 워치 시리즈5 에디션 44mm Cellular 티타늄 케이스,1320000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706728&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1774814403&package=0&setpc=0,APPLE,201912,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
116,XGODY NX2,39800,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6417408&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1473981471&package=0&setpc=0,XGODY,201808,스마트워치,Nucleus OS,블루투스,,안드로이드OS,iOS,원형,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,○,,,,,,○,,,,○,,,,,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
117,샤오미 어메이즈핏 페이스 2 스포츠,207840,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6065098&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2023022156&package=0&setpc=0,샤오미,201804,스마트워치,,블루투스,,안드로이드OS,iOS,원형,,"3.4cm(1.34"")",320x300,,듀얼(2)코어,램 : 512MB,저장 : 4GB,,,,○,○,,○,○,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,,,,,,,,,○,,,○,,,,,,,,,290mAh,,53.7g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
118,Diggro DB-05,56010,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6183420&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1417207936&package=0&setpc=0,Diggro,201805,스마트워치,,블루투스,,안드로이드OS,iOS,원형,OLED,"2.41cm(0.95"")",,,,,,,○,,○,,,○,,,,,,,,,,,,,,,,,,○,○,,,○,,,,,,,,,,,,,,○,,,,,,,,,,,,350mAh,평균사용:7일,35g,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
119,ASUS 젠워치,213970,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3358698&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B271223881&package=0&setpc=0,ASUS,201410,스마트워치,안드로이드OS,블루투스,,안드로이드OS,,사각형,OLED,"4.1cm(1.6"")",320x320,퀄컴 스냅드래곤400,쿼드(4)코어,램 : 512MB,저장 : 4GB,,,,,,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,,○,,○,,,○,○,○,,,○,,,,369mAh,,25g,IP55,표준 22mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
120,삼성전자 갤럭시 기어,305100,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=2270127&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B243479182&package=0&setpc=0,삼성전자,201309,스마트워치,,,,,,,OLED,"4.1cm(1.6"")",320x320,,,,,,○,,,,,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,○,,,,○,○,○,,○,,,,,평균사용:25시간,,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
121,F7 스마트워치,56600,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=7062676&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1512906621&package=0&setpc=0,,201901,스마트워치,기타OS,블루투스,,,,원형,OLED,,,Nordic nRF52832,,,,,○,,○,○,,,○,,,,,,,,,,,,,,,,,○,○,○,,○,○,,,,○,,○,,,,,,,○,,,,,,,,○,,,○,400mAh,,180g,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
122,Microwear L3,40680,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6272746&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1454754943&package=0&setpc=0,,201807,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,원형,IPS,"3.0cm(1.2"")",240x240,미디어텍 MT2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,○,,,,,,,,,,,,,○,,,,,,○,,,,○,,380mAh,,51g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
123,핏빗 Blaze,251280,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3689489&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=809150427&package=0&setpc=0,핏빗,201601,스마트워치,,블루투스,,안드로이드OS,iOS,사각형,,,,,,,,,○,,○,○,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,○,,,,,평균사용:5일,,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
124,APPLE 워치 시리즈5 40mm Cellular 스페이스 그레이 알루미늄 케이스,652400,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705825&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1744728362&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
125,V6,42900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6338779&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1469991150&package=0&setpc=0,,201807,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,사각형,IPS,"3.3cm(1.3"")",240x240,Nordic nRF52832,,램 : 64KB,저장 : 512KB,,,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,○,,○,,,○,,○,,○,,○,,○,,,○,,,○,,,,,○,100mAh,,,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
126,화웨이 아너 Zero,76380,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3574446&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1436533044&package=0&setpc=0,화웨이,201511,스마트워치,,블루투스,,안드로이드OS,iOS,원형,,"3.8cm(1.5"")",,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,,,,○,○,,,,70mAh,평균사용:4일,40g,IP68,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
127,Newwear Q6,78080,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8201947&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1454027910&package=0&setpc=0,,201906,스마트워치,기타OS,블루투스,v4.0,v4.4 이상,v8.0 이상,원형,LCD,"2.5cm(1.0"")",128x128,미디어텍 MT2523,,,,,○,,○,,,,,,,,,,○,○,○,,,○,,○,,,,○,○,○,○,○,○,,,,,,,,,,,,,○,,,,,,○,,○,,○,○,460mAh,,,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
