com.samsung.shealth.food_frequent,1140029,1
lunch_count,pkg_name,morningsnack_count,afternoonsnack_count,breakfast_count,food_info_id,eveningsnack_count,datauuid,deviceuuid,create_time,update_time,dinner_count
0.990000,com.sec.android.app.shealth,0.990000,0.990000,1.990000,ABF23AEB-B9E2-4935-9932-9C825382A0D7,0.990000,47B0144E-1737-4C45-8288-14F74F12A8E5,sZOKHxE5f1,2020. 07. 06. 08:28:27,2020. 07. 06. 12:41:26,0.990000,
0.950000,com.sec.android.app.shealth,0.950000,0.950000,0.950000,2C0B0D00-820B-48A3-B0F0-888A33053CE7,0.950000,7064CC48-1C30-40FB-B6FA-8A9491457BAC,sZOKHxE5f1,2020. 07. 06. 08:28:27,2020. 07. 06. 08:28:27,0.950000,
0.910000,com.sec.android.app.shealth,0.910000,0.910000,0.910000,55016CAA-158C-46D0-BE39-DB294AB701F1,0.910000,6C706A7D-F975-4718-9943-4BF929D927B6,sZOKHxE5f1,2020. 07. 06. 08:28:27,2020. 07. 06. 08:28:27,0.910000,
0.870000,com.sec.android.app.shealth,0.870000,0.870000,0.870000,A0DF5FD4-BB05-440D-B128-017A40C0C314,0.870000,A8D1DD1B-0054-45D7-893F-E2DC38CF6E17,sZOKHxE5f1,2020. 07. 06. 08:28:27,2020. 07. 06. 08:28:27,0.870000,
0.830000,com.sec.android.app.shealth,0.830000,0.830000,0.830000,139EB5B2-91B6-498F-B136-49EBB3DA6A70,0.830000,541516BD-9412-4C02-BC51-5A7FA3566D0F,sZOKHxE5f1,2020. 07. 06. 08:28:27,2020. 07. 06. 08:28:27,0.830000,
0.790000,com.sec.android.app.shealth,0.790000,0.790000,0.790000,98F29838-DEF4-4F3E-BF66-B3E8A892A7EF,0.790000,8B8F6719-EB77-45E4-945F-77C7E1BC1AD6,sZOKHxE5f1,2020. 07. 06. 08:28:27,2020. 07. 06. 08:28:27,0.790000,
0.750000,com.sec.android.app.shealth,0.750000,0.750000,0.750000,32E67B58-3654-43DA-9DFB-DC297FC08137,0.750000,1798B116-492B-4BE7-BF5B-A1F42B126A13,sZOKHxE5f1,2020. 07. 06. 08:28:27,2020. 07. 06. 08:28:27,0.750000,
0.710000,com.sec.android.app.shealth,0.710000,0.710000,0.710000,83E87E48-62A7-4F28-AB40-28D95BD46F1B,0.710000,C0998AA1-AE2C-423D-BF97-9A3D6B7FCAC8,sZOKHxE5f1,2020. 07. 06. 08:28:27,2020. 07. 06. 08:28:27,0.710000,
0.670000,com.sec.android.app.shealth,0.670000,0.670000,0.670000,DE2E512B-8A5E-4A2F-B5FB-29D80EE441A9,0.670000,3B8E0468-B5B1-4E65-8E34-98F0A412BB8A,sZOKHxE5f1,2020. 07. 06. 08:28:27,2020. 07. 06. 08:28:27,0.670000,
0.630000,com.sec.android.app.shealth,0.630000,0.630000,0.630000,3801A5A7-2F54-486F-845A-15550C8115E3,0.630000,00BDBDF3-F2B5-4632-9C02-0EA1462AC4C7,sZOKHxE5f1,2020. 07. 06. 08:28:27,2020. 07. 06. 08:28:27,0.630000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,1.000000,A07B90D2-93E3-49C1-A113-F70968BC0F15,0.000000,9F39332E-7372-4541-8D03-8C34F377998C,sZOKHxE5f1,2020. 07. 06. 12:41:26,2020. 07. 06. 12:41:26,0.000000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,1.000000,61C1D55D-A905-44BA-A4B5-822DF28157DF,0.000000,FDB5C8A5-B9C4-4FBF-8C16-9F0A34EAB3F3,sZOKHxE5f1,2020. 07. 06. 12:41:26,2020. 07. 06. 12:41:26,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,987F9023-9E91-4896-B665-980D383A5782,0.000000,85BD930D-3217-47DB-B711-0F9243FC7CCA,sZOKHxE5f1,2020. 07. 06. 12:41:46,2020. 07. 06. 12:41:46,0.000000,
0.000000,com.sec.android.app.shealth,1.000000,0.000000,0.000000,ACCEDC76-7B7C-4FED-AB4A-547D18878757,0.000000,B94D5842-3B16-4EA7-A121-7D7A61B07A00,sZOKHxE5f1,2020. 07. 06. 12:42:32,2020. 07. 06. 12:42:32,0.000000,
0.000000,com.sec.android.app.shealth,0.000000,1.000000,0.000000,D2CF9A73-B7AE-4E8B-9AE0-7BB0EE80A1F4,0.000000,F09A8CC8-8198-4551-B860-32869842FD7F,sZOKHxE5f1,2020. 07. 06. 15:19:59,2020. 07. 06. 15:19:59,0.000000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,14C90D04-725B-47E2-91AA-442E5FBB93D8,0.000000,DCF3B959-9794-4039-A896-6DC1DCADC5D9,sZOKHxE5f1,2020. 07. 06. 22:05:10,2020. 07. 06. 22:05:10,1.000000,
0.000000,com.sec.android.app.shealth,1.000000,0.000000,0.000000,180B870E-E8E6-4B94-AB07-1403124E7987,0.000000,71DFA3A4-7274-4710-B1BB-0B3823A45ACD,sZOKHxE5f1,2020. 07. 07. 10:06:06,2020. 07. 07. 10:06:06,0.000000,
0.000000,com.sec.android.app.shealth,1.000000,0.000000,0.000000,8D3240C8-7C88-4196-9065-4697D5CD56A0,0.000000,983E343C-7DFF-458C-A813-3FACF891BE0F,sZOKHxE5f1,2020. 07. 07. 10:06:06,2020. 07. 07. 10:06:06,0.000000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,B15F6F54-ED61-4B5B-8DAD-3F4CB4F98C06,1.000000,F09800B1-CAA1-4816-9B49-964A9031584A,sZOKHxE5f1,2020. 07. 07. 12:00:43,2020. 07. 07. 12:00:43,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,7ECE6A3A-7F50-46B5-A759-C7B2590DCCF1,0.000000,5A205EF5-883E-42FF-9160-899CFC46A905,sZOKHxE5f1,2020. 07. 07. 14:20:24,2020. 07. 07. 14:20:24,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,7120F7CD-83C1-4A8D-9F04-9372E6A8E54B,0.000000,A4029495-30F6-4A16-B9E7-FC4052067DF2,sZOKHxE5f1,2020. 07. 07. 14:20:24,2020. 07. 07. 14:20:24,0.000000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,FAA07718-326E-45F8-9BAF-115136033C73,0.000000,65F6BC66-5D7B-49C2-BB6E-D8BA4A67D00F,sZOKHxE5f1,2020. 07. 07. 22:26:30,2020. 07. 07. 22:26:30,1.000000,
0.000000,com.sec.android.app.shealth,0.000000,1.000000,0.000000,0E9997B7-B8D0-4765-AE7B-99D748705D3A,0.000000,5097D140-A8AB-4F64-BB10-1CBC64BC7294,sZOKHxE5f1,2020. 07. 07. 22:27:01,2020. 07. 07. 22:27:01,0.000000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,1.000000,B9AD5658-363C-40CF-A12A-6AE2CE4C625E,0.000000,A6B24423-CA5B-4104-9D5F-B4A2184ACDBD,sZOKHxE5f1,2020. 07. 08. 10:59:17,2020. 07. 08. 10:59:17,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,922FDA7F-1D1D-4CA8-87CB-29C52C1C1238,0.000000,6CC3CDC0-B267-4087-BDD8-17209411EDAA,sZOKHxE5f1,2020. 07. 08. 14:05:07,2020. 07. 08. 14:05:07,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,D0A9B3E6-5219-47C3-8544-44E5294481E0,0.000000,90603DDF-52FA-46E0-BE4D-C89CB9A6F36C,sZOKHxE5f1,2020. 07. 08. 14:05:07,2020. 07. 08. 14:05:07,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,3396F1D2-5335-40FB-A6FA-BE3A2E268D77,0.000000,99B541B0-789C-410E-9A7E-F1ACE1C3307E,sZOKHxE5f1,2020. 07. 09. 14:24:25,2020. 07. 09. 14:24:25,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,2D9BB15A-F567-4142-9489-125CB7097B0C,0.000000,A3337256-2067-4E16-8436-76F26974C866,sZOKHxE5f1,2020. 07. 09. 14:24:25,2020. 07. 09. 14:24:25,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,A28B4EB7-3D80-48C2-B94E-850FE82F8456,0.000000,A734CA20-AACB-4389-BC19-7EE5AF874E0D,sZOKHxE5f1,2020. 07. 09. 14:24:25,2020. 07. 09. 14:24:25,0.000000,
1.000000,com.sec.android.app.shealth,0.000000,0.000000,0.000000,F6163884-E437-43E6-A01B-774C4EB0D61A,0.000000,4284FA67-D994-468C-9125-E650EE56D919,sZOKHxE5f1,2020. 07. 10. 14:14:05,2020. 07. 10. 14:14:05,0.000000,

