com.samsung.shealth.tracker.pedometer_day_summary,1140029,5
day_time,speed,update_time,pkg_name,source_info,source_package_name,walk_step_count,binning_data,active_time,achievement,healthy_step,calorie,recommendation,datauuid,deviceuuid,distance,create_time,run_step_count,step_count
1594080000000,1.378468,2020. 07. 08. 오전 1:24:19,com.sec.android.app.shealth,,com.sec.android.app.shealth,2824,547ce272-7ee6-4c70-932a-07464e391d74.binning_data,1987508,547ce272-7ee6-4c70-932a-07464e391d74.achievement,0,152.631638,6000,547ce272-7ee6-4c70-932a-07464e391d74,VfS0qUERdZ,2739.716553,2020. 07. 07. 오후 6:46:29,640,3464,
1594080000000,6.944445,2020. 07. 08. 오전 6:31:30,com.sec.android.app.shealth,,com.sec.android.app.shealth,2324,d8df435d-b95c-47f1-99a7-47e3783059c9.binning_data,1314726,d8df435d-b95c-47f1-99a7-47e3783059c9.achievement,0,132.649994,6000,d8df435d-b95c-47f1-99a7-47e3783059c9,Eb+lTn/Fs+,2426.520020,2020. 07. 07. 오후 8:05:28,672,2996,
1594166400000,1.163313,2020. 07. 09. 오전 7:09:26,com.sec.android.app.shealth,,com.sec.android.app.shealth,12615,3f713492-0a07-4cbc-b956-4be2d02aba46.binning_data,7832005,3f713492-0a07-4cbc-b956-4be2d02aba46.achievement,0,450.868805,6000,3f713492-0a07-4cbc-b956-4be2d02aba46,VfS0qUERdZ,9111.076172,2020. 07. 08. 오전 12:02:43,86,12701,
1594166400000,2.916667,2020. 07. 09. 오후 3:25:52,com.sec.android.app.shealth,,com.sec.android.app.shealth,9636,a2f6e5b5-4e3d-47ae-8296-b6054de12db5.binning_data,5329168,a2f6e5b5-4e3d-47ae-8296-b6054de12db5.achievement,0,365.546997,6000,a2f6e5b5-4e3d-47ae-8296-b6054de12db5,Eb+lTn/Fs+,7260.968750,2020. 07. 08. 오전 12:50:55,193,9829,
1594080000000,2.611340,2020. 07. 08. 오전 6:31:30,com.sec.android.app.shealth,,com.sec.android.app.shealth,2511,c52e4560-a7d7-4536-9a01-9d27f829ec1d.binning_data,1966000,c52e4560-a7d7-4536-9a01-9d27f829ec1d.achievement,0,105.376923,6000,c52e4560-a7d7-4536-9a01-9d27f829ec1d,sb+tNhfKEH,1969.751221,2020. 07. 08. 오전 6:31:30,151,2662,
1594166400000,2.354024,2020. 07. 08. 오후 11:38:48,com.sec.android.app.shealth,,com.sec.android.app.shealth,10107,1b78be96-cae5-4933-805a-923e2747956e.binning_data,6704000,1b78be96-cae5-4933-805a-923e2747956e.achievement,0,354.103271,6000,1b78be96-cae5-4933-805a-923e2747956e,sb+tNhfKEH,7074.280762,2020. 07. 08. 오전 6:31:30,0,10107,
1593993600000,1.041266,2020. 07. 08. 오후 11:38:48,com.sec.android.app.shealth,,com.sec.android.app.shealth,10107,8827c9a5-06de-4b56-a46f-bf99982d479d.binning_data,6793923,8827c9a5-06de-4b56-a46f-bf99982d479d.achievement,0,354.103271,6000,8827c9a5-06de-4b56-a46f-bf99982d479d,VfS0qUERdZ,7074.280762,2020. 07. 08. 오후 11:38:48,0,10107,
1594252800000,1.258323,2020. 07. 10. 오전 12:35:27,com.sec.android.app.shealth,,com.sec.android.app.shealth,13574,5056fd41-cb40-49f4-aae1-495971def306.binning_data,8174334,5056fd41-cb40-49f4-aae1-495971def306.achievement,0,510.563965,6000,5056fd41-cb40-49f4-aae1-495971def306,VfS0qUERdZ,10285.956055,2020. 07. 09. 오전 12:06:04,301,13875,
1594252800000,2.343109,2020. 07. 10. 오전 12:10:57,com.sec.android.app.shealth,,com.sec.android.app.shealth,11285,ced2e4b9-d167-46a4-9637-930139f1281c.binning_data,7639000,ced2e4b9-d167-46a4-9637-930139f1281c.achievement,0,406.490082,6000,ced2e4b9-d167-46a4-9637-930139f1281c,sb+tNhfKEH,8143.715820,2020. 07. 09. 오전 7:02:40,0,11285,
1594252800000,3.472222,2020. 07. 11. 오전 11:28:45,com.sec.android.app.shealth,,com.sec.android.app.shealth,12605,574bf45e-80c9-4dd5-940c-57d638f24c2c.binning_data,6906411,574bf45e-80c9-4dd5-940c-57d638f24c2c.achievement,0,478.742004,6000,574bf45e-80c9-4dd5-940c-57d638f24c2c,Eb+lTn/Fs+,9682.542969,2020. 07. 09. 오전 7:09:27,332,12937,
1594339200000,1.774635,2020. 07. 11. 오전 12:15:20,com.sec.android.app.shealth,,com.sec.android.app.shealth,6953,2f32a193-d8f2-4b91-a7e4-7b7347dc273c.binning_data,4587000,2f32a193-d8f2-4b91-a7e4-7b7347dc273c.achievement,0,249.550720,6000,2f32a193-d8f2-4b91-a7e4-7b7347dc273c,sb+tNhfKEH,5062.662598,2020. 07. 10. 오전 7:16:46,0,6953,
1594339200000,1.444543,2020. 07. 12. 오후 6:45:17,com.sec.android.app.shealth,,com.sec.android.app.shealth,9346,d6f6299d-a2e2-4e87-8e97-69fd2b9354b3.binning_data,5620864,d6f6299d-a2e2-4e87-8e97-69fd2b9354b3.achievement,0,439.347321,6000,d6f6299d-a2e2-4e87-8e97-69fd2b9354b3,VfS0qUERdZ,8119.580078,2020. 07. 10. 오전 7:16:46,1187,10533,
1594339200000,4.250000,2020. 07. 13. 오전 6:16:40,com.sec.android.app.shealth,,com.sec.android.app.shealth,8648,04fe168d-1b06-4a1f-af61-1152b493c80d.binning_data,4654469,04fe168d-1b06-4a1f-af61-1152b493c80d.achievement,0,419.010010,6000,04fe168d-1b06-4a1f-af61-1152b493c80d,Eb+lTn/Fs+,7748.082031,2020. 07. 10. 오후 4:46:02,1239,9887,
1594425600000,1.778473,2020. 07. 11. 오후 11:35:31,com.sec.android.app.shealth,,com.sec.android.app.shealth,9164,b3eb33c6-8814-44a3-88c5-84928b97baf1.binning_data,5617000,b3eb33c6-8814-44a3-88c5-84928b97baf1.achievement,0,321.764862,6000,b3eb33c6-8814-44a3-88c5-84928b97baf1,sb+tNhfKEH,6697.127930,2020. 07. 11. 오전 11:28:36,0,9164,
1594425600000,1.178231,2020. 07. 11. 오후 11:35:31,com.sec.android.app.shealth,,com.sec.android.app.shealth,9164,5023c669-39b3-417c-bbd7-7e6e696f369a.binning_data,5684054,5023c669-39b3-417c-bbd7-7e6e696f369a.achievement,0,321.764862,6000,5023c669-39b3-417c-bbd7-7e6e696f369a,VfS0qUERdZ,6697.127930,2020. 07. 11. 오전 11:28:37,0,9164,
1594512000000,1.608732,2020. 07. 13. 오전 10:15:29,com.sec.android.app.shealth,,com.sec.android.app.shealth,3972,c6d5d850-b57d-4abb-beba-b5b082700997.binning_data,3071111,c6d5d850-b57d-4abb-beba-b5b082700997.achievement,0,301.164429,6000,c6d5d850-b57d-4abb-beba-b5b082700997,VfS0qUERdZ,4940.594238,2020. 07. 12. 오전 9:33:32,1937,5909,
1594512000000,1.561777,2020. 07. 12. 오후 8:34:13,com.sec.android.app.shealth,,com.sec.android.app.shealth,1742,0d77509b-952f-4485-b395-8a5a9efeb886.binning_data,1515000,0d77509b-952f-4485-b395-8a5a9efeb886.achievement,0,68.335136,6000,0d77509b-952f-4485-b395-8a5a9efeb886,sb+tNhfKEH,1241.670044,2020. 07. 12. 오전 9:33:32,0,1742,
1594512000000,5.166666,2020. 07. 14. 오전 9:27:26,com.sec.android.app.shealth,,com.sec.android.app.shealth,3370,76c4f39d-26fd-4a19-8dbb-d426d3472d5a.binning_data,2352812,76c4f39d-26fd-4a19-8dbb-d426d3472d5a.achievement,0,275.609985,6000,76c4f39d-26fd-4a19-8dbb-d426d3472d5a,Eb+lTn/Fs+,4543.210938,2020. 07. 12. 오후 12:29:08,1937,5307,
1594598400000,1.674641,2020. 07. 14. 오전 9:23:33,com.sec.android.app.shealth,,com.sec.android.app.shealth,10185,c37b52da-29e3-4e43-9d49-820d51d94b98.binning_data,6516000,c37b52da-29e3-4e43-9d49-820d51d94b98.achievement,0,333.966705,6000,c37b52da-29e3-4e43-9d49-820d51d94b98,sb+tNhfKEH,6551.444824,2020. 07. 13. 오전 6:16:22,0,10185,
1594598400000,1.153804,2020. 07. 14. 오전 9:23:33,com.sec.android.app.shealth,,com.sec.android.app.shealth,12031,43f409df-6bd9-41ea-8395-fffcdce63a88.binning_data,7183806,43f409df-6bd9-41ea-8395-fffcdce63a88.achievement,0,414.105530,6000,43f409df-6bd9-41ea-8395-fffcdce63a88,VfS0qUERdZ,8288.703125,2020. 07. 13. 오전 6:16:23,57,12088,
1594598400000,2.777778,2020. 07. 16. 오전 10:00:59,com.sec.android.app.shealth,,com.sec.android.app.shealth,9933,91b1cc0b-c48b-44b0-baff-df0a02073872.binning_data,5075016,91b1cc0b-c48b-44b0-baff-df0a02073872.achievement,0,361.867981,6000,91b1cc0b-c48b-44b0-baff-df0a02073872,Eb+lTn/Fs+,7408.369141,2020. 07. 13. 오전 10:15:28,66,9999,
1594684800000,1.659850,2020. 07. 16. 오전 10:00:24,com.sec.android.app.shealth,,com.sec.android.app.shealth,11909,8a2bc17f-7e53-435e-800f-c784b79bc05b.binning_data,7646000,8a2bc17f-7e53-435e-800f-c784b79bc05b.achievement,0,429.812988,6000,8a2bc17f-7e53-435e-800f-c784b79bc05b,sb+tNhfKEH,8860.666016,2020. 07. 14. 오전 9:23:33,0,11909,
1594684800000,1.268409,2020. 07. 17. 오전 7:33:05,com.sec.android.app.shealth,,com.sec.android.app.shealth,14981,cefdd2e6-ac07-4c9c-9b49-c4d913406ef5.binning_data,8779499,cefdd2e6-ac07-4c9c-9b49-c4d913406ef5.achievement,0,545.866943,6000,cefdd2e6-ac07-4c9c-9b49-c4d913406ef5,VfS0qUERdZ,11135.994141,2020. 07. 14. 오전 9:23:33,90,15071,
1594684800000,3.268494,2020. 07. 17. 오후 4:57:51,com.sec.android.app.shealth,,com.sec.android.app.shealth,14202,08e1dab4-6e92-4316-844f-e44131c1e45d.binning_data,7775193,08e1dab4-6e92-4316-844f-e44131c1e45d.achievement,0,525.690002,6000,08e1dab4-6e92-4316-844f-e44131c1e45d,Eb+lTn/Fs+,10506.488281,2020. 07. 14. 오전 9:27:33,144,14346,
1594771200000,1.179209,2020. 07. 17. 오전 7:33:08,com.sec.android.app.shealth,,com.sec.android.app.shealth,14230,ae92324e-06d6-494a-ab59-9b10115593da.binning_data,9014765,ae92324e-06d6-494a-ab59-9b10115593da.achievement,0,528.968140,6000,ae92324e-06d6-494a-ab59-9b10115593da,VfS0qUERdZ,10630.296875,2020. 07. 16. 오전 10:00:22,189,14419,
1594771200000,1.688471,2020. 07. 16. 오전 10:00:24,com.sec.android.app.shealth,,com.sec.android.app.shealth,11102,88082c28-4588-4c0f-8a5a-1ef5745c4cba.binning_data,7602000,88082c28-4588-4c0f-8a5a-1ef5745c4cba.achievement,0,402.969543,6000,88082c28-4588-4c0f-8a5a-1ef5745c4cba,sb+tNhfKEH,8054.352539,2020. 07. 16. 오전 10:00:24,0,11102,
1594857600000,2.137930,2020. 07. 17. 오전 12:05:15,com.sec.android.app.shealth,,com.sec.android.app.shealth,10193,83b48bb6-bb67-443f-904d-1eee2bab79b0.binning_data,6755000,83b48bb6-bb67-443f-904d-1eee2bab79b0.achievement,0,373.078705,6000,83b48bb6-bb67-443f-904d-1eee2bab79b0,sb+tNhfKEH,7616.733398,2020. 07. 16. 오전 10:00:24,0,10193,
1594857600000,1.115092,2020. 07. 17. 오전 12:05:15,com.sec.android.app.shealth,,com.sec.android.app.shealth,10193,763c7641-3ca1-4d9e-a5ab-f962859afa82.binning_data,6830587,763c7641-3ca1-4d9e-a5ab-f962859afa82.achievement,0,373.078705,6000,763c7641-3ca1-4d9e-a5ab-f962859afa82,VfS0qUERdZ,7616.733398,2020. 07. 16. 오전 10:00:24,0,10193,
1594944000000,1.173753,2020. 07. 18. 오전 3:11:06,com.sec.android.app.shealth,,com.sec.android.app.shealth,11434,cf88addd-4000-4d72-8464-0f17089023d2.binning_data,7644490,cf88addd-4000-4d72-8464-0f17089023d2.achievement,0,471.251038,6000,cf88addd-4000-4d72-8464-0f17089023d2,VfS0qUERdZ,8972.741211,2020. 07. 17. 오전 12:05:15,436,11870,
1594944000000,2.313070,2020. 07. 18. 오전 3:11:05,com.sec.android.app.shealth,,com.sec.android.app.shealth,8854,a1aee53d-4a53-47ca-9b84-fa2794f1ddbb.binning_data,6720000,a1aee53d-4a53-47ca-9b84-fa2794f1ddbb.achievement,0,333.465027,6000,a1aee53d-4a53-47ca-9b84-fa2794f1ddbb,sb+tNhfKEH,6416.936035,2020. 07. 17. 오전 12:05:15,0,8854,
1594771200000,3.416667,2020. 07. 17. 오전 7:33:08,com.sec.android.app.shealth,,com.sec.android.app.shealth,8029,2c4faf35-360b-41fc-b49d-efafbcfc2ba0.binning_data,4315459,2c4faf35-360b-41fc-b49d-efafbcfc2ba0.achievement,0,304.739990,6000,2c4faf35-360b-41fc-b49d-efafbcfc2ba0,Eb+lTn/Fs+,6133.651855,2020. 07. 17. 오전 7:33:08,193,8222,
1594944000000,6.777778,2020. 07. 17. 오후 10:39:48,com.sec.android.app.shealth,,com.sec.android.app.shealth,9235,ba9a900b-7c8a-4cad-8907-22c9638564d1.binning_data,4699929,ba9a900b-7c8a-4cad-8907-22c9638564d1.achievement,0,383.026855,6000,ba9a900b-7c8a-4cad-8907-22c9638564d1,Eb+lTn/Fs+,7417.161133,2020. 07. 17. 오전 9:04:19,473,9708,
1595030400000,2.576363,2020. 07. 19. 오전 1:08:04,com.sec.android.app.shealth,,com.sec.android.app.shealth,18118,c08c7d3a-ee79-420a-8301-0a37c264d937.binning_data,11290000,c08c7d3a-ee79-420a-8301-0a37c264d937.achievement,0,634.544189,6000,c08c7d3a-ee79-420a-8301-0a37c264d937,sb+tNhfKEH,13058.158203,2020. 07. 18. 오전 3:11:05,0,18118,
1595030400000,1.145347,2020. 07. 19. 오전 1:08:04,com.sec.android.app.shealth,,com.sec.android.app.shealth,18118,3c3d3c18-3f9c-442b-9a37-df80f5a653a6.binning_data,11401046,3c3d3c18-3f9c-442b-9a37-df80f5a653a6.achievement,0,634.544189,6000,3c3d3c18-3f9c-442b-9a37-df80f5a653a6,VfS0qUERdZ,13058.158203,2020. 07. 18. 오전 3:11:06,0,18118,
1595116800000,1.673132,2020. 07. 20. 오전 2:27:08,com.sec.android.app.shealth,,com.sec.android.app.shealth,10107,8714f3ae-f170-4ea0-aeee-87db4bf89806.binning_data,7055000,8714f3ae-f170-4ea0-aeee-87db4bf89806.achievement,0,368.598236,6000,8714f3ae-f170-4ea0-aeee-87db4bf89806,sb+tNhfKEH,7310.996094,2020. 07. 19. 오전 1:08:04,0,10107,
1595116800000,1.023342,2020. 07. 20. 오전 2:27:08,com.sec.android.app.shealth,,com.sec.android.app.shealth,10107,bebebfa3-68e3-463c-8e60-7c4ec9c39eb8.binning_data,7144237,bebebfa3-68e3-463c-8e60-7c4ec9c39eb8.achievement,0,368.598236,6000,bebebfa3-68e3-463c-8e60-7c4ec9c39eb8,VfS0qUERdZ,7310.996094,2020. 07. 19. 오전 1:08:05,0,10107,
1595203200000,1.582549,2020. 07. 20. 오후 6:08:31,com.sec.android.app.shealth,,com.sec.android.app.shealth,3650,e8f064d6-2fa6-4469-9d1e-34f2c9ba6645.binning_data,2408000,e8f064d6-2fa6-4469-9d1e-34f2c9ba6645.achievement,0,129.694763,6000,e8f064d6-2fa6-4469-9d1e-34f2c9ba6645,sb+tNhfKEH,2612.310059,2020. 07. 20. 오후 6:08:31,0,3650,
1595203200000,1.072650,2020. 07. 20. 오후 6:08:31,com.sec.android.app.shealth,,com.sec.android.app.shealth,3650,14613bdd-d3e3-4d4a-aed4-2c9d4d0d072c.binning_data,2435380,14613bdd-d3e3-4d4a-aed4-2c9d4d0d072c.achievement,0,129.694763,6000,14613bdd-d3e3-4d4a-aed4-2c9d4d0d072c,VfS0qUERdZ,2612.310059,2020. 07. 20. 오후 6:08:31,0,3650,

